longitude;latitude;observationId;Temperatura_Media_Anual_GrausC;Precipitacao_Media_Anual_mm;Temperatura_Media_Janeiro_GrausC;Temperatura_Media_Fevereiro_GrausC;Temperatura_Media_Marco_GrausC;Temperatura_Media_Abril_GrausC;Temperatura_Media_Maio_GrausC;Temperatura_Media_Junho_GrausC;Temperatura_Media_Julho_GrausC;Temperatura_Media_Agosto_GrausC;Temperatura_Media_Setembro_GrausC;Temperatura_Media_Outubro_GrausC;Temperatura_Media_Novembro_GrausC;Temperatura_Media_Dezembro_GrausC;Precipitacao_Media_Janeiro_mm;Precipitacao_Media_Fevereiro_mm;Precipitacao_Media_Marco_mm;Precipitacao_Media_Abril_mm;Precipitacao_Media_Maio_mm;Precipitacao_Media_Junho_mm;Precipitacao_Media_Julho_mm;Precipitacao_Media_Agosto_mm;Precipitacao_Media_Setembro_mm;Precipitacao_Media_Outubro_mm;Precipitacao_Media_Novembro_mm;Precipitacao_Media_Dezembro_mm;Capacidade_Armazenamento_Agua_mm;Teor_Argila_Subsolo_%;Teor_Cascalho_Subsolo_%;Teor_Carbono_Organico_Subsolo_%;Teor_Areia_Subsolo_%;Teor_Silte_Subsolo_%;Teor_Argila_Cam_Superior_%;Teor_Cascalho_Cam_Superior_%;Teor_Carbono_Organico_Cam_Superior_%;Teor_Areia_Cam_Superior_%;Teor_Silte_Cam_Superior_%;Classificacao_Clima_KoeppenGeiger;Isotermalidade;Sazonalidade_Temperatura
-41.98;-22.81;19680.0;22.8;860.0;25.0;25.0;25.0;23.0;22.0;21.0;20.0;20.0;21.0;22.0;22.0;24.0;8.0;6.0;7.0;8.0;7.0;4.0;4.0;3.0;5.0;7.0;9.0;11.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.56;16.93
-41.98;-22.81;19681.0;22.8;860.0;25.0;25.0;25.0;23.0;22.0;21.0;20.0;20.0;21.0;22.0;22.0;24.0;8.0;6.0;7.0;8.0;7.0;4.0;4.0;3.0;5.0;7.0;9.0;11.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.56;16.93
-41.98;-22.81;19682.0;22.8;860.0;25.0;25.0;25.0;23.0;22.0;21.0;20.0;20.0;21.0;22.0;22.0;24.0;8.0;6.0;7.0;8.0;7.0;4.0;4.0;3.0;5.0;7.0;9.0;11.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.56;16.93
-41.98;-22.81;19683.0;22.8;860.0;25.0;25.0;25.0;23.0;22.0;21.0;20.0;20.0;21.0;22.0;22.0;24.0;8.0;6.0;7.0;8.0;7.0;4.0;4.0;3.0;5.0;7.0;9.0;11.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.56;16.93
-41.98;-22.81;19684.0;22.8;860.0;25.0;25.0;25.0;23.0;22.0;21.0;20.0;20.0;21.0;22.0;22.0;24.0;8.0;6.0;7.0;8.0;7.0;4.0;4.0;3.0;5.0;7.0;9.0;11.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.56;16.93
-41.98;-22.81;19685.0;22.8;860.0;25.0;25.0;25.0;23.0;22.0;21.0;20.0;20.0;21.0;22.0;22.0;24.0;8.0;6.0;7.0;8.0;7.0;4.0;4.0;3.0;5.0;7.0;9.0;11.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.56;16.93
-41.98;-22.81;19686.0;22.8;860.0;25.0;25.0;25.0;23.0;22.0;21.0;20.0;20.0;21.0;22.0;22.0;24.0;8.0;6.0;7.0;8.0;7.0;4.0;4.0;3.0;5.0;7.0;9.0;11.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.56;16.93
-41.98;-22.81;19687.0;22.8;860.0;25.0;25.0;25.0;23.0;22.0;21.0;20.0;20.0;21.0;22.0;22.0;24.0;8.0;6.0;7.0;8.0;7.0;4.0;4.0;3.0;5.0;7.0;9.0;11.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.56;16.93
-41.98;-22.81;19688.0;22.8;860.0;25.0;25.0;25.0;23.0;22.0;21.0;20.0;20.0;21.0;22.0;22.0;24.0;8.0;6.0;7.0;8.0;7.0;4.0;4.0;3.0;5.0;7.0;9.0;11.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.56;16.93
-41.98;-22.81;19689.0;22.8;860.0;25.0;25.0;25.0;23.0;22.0;21.0;20.0;20.0;21.0;22.0;22.0;24.0;8.0;6.0;7.0;8.0;7.0;4.0;4.0;3.0;5.0;7.0;9.0;11.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.56;16.93
